product_code,product_type,local_name,name,country,trade_unit,fca_cost_per_wu,packaging,packaging_weight,typical_unit_weight_kg,units_per_pack,packaging_cost,other_info,currency,created_at,updated_at
ME027,Meats,SS Smoker Trim Picnic Paper/Poly,Pork Picnic Smoker Trim (Paper/Poly),USA,kg,2.995,Box,12,5.55,2,33.24,Paper/Poly,USD,2026-01-11T20:28:00Z,2026-01-11T20:28:00Z
ME028,Meats,SS Smoker Trim Picnic 1 Pc Vac,Pork Picnic Smoker Trim (1-Piece Vacuum-Packed),USA,kg,2.469,Box,11,5.48,2,27.06,VAC,USD,2026-01-11T20:28:00Z,2026-01-11T20:28:00Z
ME029,Meats,Picnic Cushion Meat Vac,Pork Cushion Meat (Vacuum-Packed),USA,kg,3.116,Box,10,1.65,6,30.85,VAC,USD,2026-01-11T20:28:00Z,2026-01-11T20:28:00Z
ME030,Meats,Picnic Cushion Meat Poly FZN,Pork Cushion Meat (Poly Frozen),USA,kg,3.155,Box,9,1.7,5,26.82,Poly FZN,USD,2026-01-11T20:28:00Z,2026-01-11T20:28:00Z
ME031,Meats,Picnic Cushion Meat Combo,Pork Cushion Meat (Combo Pack),USA,kg,3.006,Box,9,1.68,5,25.25,Combo,USD,2026-01-11T20:28:00Z,2026-01-11T20:28:00Z
ME032,Meats,20-23# Trimmed Selected Ham,Pork Ham Trimmed Selected (20 23 lb),USA,kg,1.728,Box,20,10,2,34.56,20-23lb,USD,2026-01-11T20:28:00Z,2026-01-11T20:28:00Z
ME033,Meats,23-27# Trimmed Selected Ham,Pork Ham,USA,kg,1.778,Box,21,10.5,2,37.34,23-27lb,USD,2026-01-11T20:28:00Z,2026-01-11T20:28:00Z
ME034,Meats,20-23 Ham Boxed,Pork Ham Boxed,USA,kg,3.969,Box,21,10.2,2,80.97,Boxed 20-23lb,USD,2026-01-11T20:28:00Z,2026-01-11T20:28:00Z
ME035,Meats,3 Muscle Ham to Blue,Pork Ham 3-Muscle,USA,kg,3.507,Box,9,2.2,4,30.86,3-Muscle,USD,2026-01-11T20:28:00Z,2026-01-11T20:28:00Z
ME036,Meats,4 Muscle Ham to Blue,Pork Ham 4-Muscle,USA,kg,3.739,Box,9,2.75,3,30.85,4-Muscle,USD,2026-01-11T20:28:00Z,2026-01-11T20:28:00Z
ME037,Meats,Rollout Ham Bnls Boxed,Pork Ham Boneless,USA,kg,3.501,Box,9,2.2,4,30.81,Boneless Boxed,USD,2026-01-11T20:28:00Z,2026-01-11T20:28:00Z
ME038,Meats,2pc Ham,Pork Ham 2-Piece,USA,kg,3.4,Box,11,5.5,2,37.40,2pc,USD,2026-01-11T20:28:00Z,2026-01-11T20:28:00Z
ME039,Meats,Insides,Pork Ham Inside Muscle,USA,kg,3.421,Box,10,1.65,6,33.87,Inside Muscle,USD,2026-01-11T20:28:00Z,2026-01-11T20:28:00Z
ME040,Meats,Outsides,Pork Ham Outside Muscle,USA,kg,3.722,Box,10,1.85,5,34.43,Outside Muscle,USD,2026-01-11T20:28:00Z,2026-01-11T20:28:00Z
ME041,Meats,Knuckles,Pork Ham Knuckle,USA,kg,3.28,Box,9,1.75,5,28.70,Knuckle,USD,2026-01-11T20:28:00Z,2026-01-11T20:28:00Z
ME042,Meats,Derind Belly 9-13#,Pork Belly,USA,kg,3.505,Box,11,5.5,2,38.56,9-13lb,USD,2026-01-11T20:28:00Z,2026-01-11T20:28:00Z
ME043,Meats,Derind Belly 13-17#,Pork Belly,USA,kg,3.345,Box,12,5.6,2,37.46,13-17lb,USD,2026-01-11T20:28:00Z,2026-01-11T20:28:00Z
ME044,Meats,Derind Belly 9-13# Boxed,Pork Belly,USA,kg,5.6,Box,12,5.55,2,62.16,Boxed 9-13lb,USD,2026-01-11T20:28:00Z,2026-01-11T20:28:00Z
ME045,Meats,Skin-on Belly 12-14#,Pork Belly Skin-On,USA,kg,4.086,Box,12,6,2,49.03,12-14lb,USD,2026-01-11T20:28:00Z,2026-01-11T20:28:00Z
ME046,Meats,Skin-on Belly 10-12# Boxed,Pork Belly Skin-On,USA,kg,5.588,Box,12,5.9,2,65.94,Boxed 10-12lb,USD,2026-01-11T20:28:00Z,2026-01-11T20:28:00Z
